Factors	p.adj	means	standard_deviation	block
comp1	6.13137390391768e-16	29.9897105796715	0.631721990724294	RNA
comp2	0.23580213232402	5.61961287727654	-2.19879252937101	RNA
comp3	0.504747326961727	3.26321711235314	0.478002605289738	RNA
comp4	0.182814941404718	4.79373830403439	2.50581174617413	RNA
comp5	0.839116926635744	-0.86777125126418	5.30177408643424	RNA
comp6	0.504747326961727	1.48009515144194	-1.00161526613621	RNA
comp7	0.504747326961727	2.0852538396136	-0.773819634477872	RNA
comp8	0.23580213232402	2.90619012577723	-1.75679374894168	RNA
comp9	0.668410929261848	1.58580364198086	1.33156737238887	RNA
comp10	0.504747326961727	1.54934383457323	-0.911302285198675	RNA
comp1	8.23865099650826e-16	48.9460936339434	0.34614143291312	Methylomics
comp2	0.525531808520071	2.05814792863479	-2.97858207374673	Methylomics
comp3	0.839116926635744	0.835885170490296	0.943147024621137	Methylomics
comp4	0.880410882443303	1.8688313723683	3.12973512795757	Methylomics
comp5	0.504747326961727	1.68120751226249	3.11178219385406	Methylomics
comp6	0.23580213232402	2.55087425565853	2.31966156210892	Methylomics
comp7	0.504747326961727	0.873342536913626	0.273528761869822	Methylomics
comp8	0.501603707641536	1.62330501461426	-0.679962169888951	Methylomics
comp9	0.504747326961727	1.38531803586253	-0.583289136653523	Methylomics
comp10	0.504747326961727	0.618255369753857	0.825810828084072	Methylomics
comp1	3.04763548385789e-24	2.81668656347864	0	Y
comp2	3.12069700956035e-11	0.875152577405793	0.0431540594484201	Y
comp3	1.74789683810772e-10	0.829666344697076	-0.0417840105418823	Y
comp4	1.09721435568132e-10	0.820952790172362	-0.0426122085251893	Y
comp5	2.79505588910011e-11	0.766768736323914	-0.187174222095805	Y
comp6	4.27018815596928e-11	0.75416831965826	-0.16779608835345	Y
comp7	5.43696953741796e-10	0.713896233976422	-0.168116027253745	Y
comp8	9.0347196205623e-10	0.698864552167191	-0.14428774017828	Y
comp9	3.48254181459439e-09	0.659584092283203	-0.0568728204153611	Y
comp10	2.72772438256339e-09	0.642960638839708	-0.0957285550445173	Y
