HMDB	name	chemical_formula	average_molecular_weight	kegg_id
HMDB0031633	Orientanol B	C21H22O4	338.397	
HMDB0031634	2-Propanethiol	C3H8S	76.161	C08391
HMDB0031635	2-Propene-1-thiol	C3H6S	74.145	
HMDB0031636	(E)-1-Propene-1-sulfenic acid	C3H6OS	90.144	
HMDB0031638	Pentyl propanoate	C8H16O2	144.2114	
HMDB0031639	Glycerol 1-propanoate	C6H12O4	148.1571	
HMDB0031640	Glycerol 1-propanoate diacetate	C10H16O6	232.2304	
HMDB0031641	Pyrrolidine	C4H9N	71.121	
HMDB0031642	N-Nitroso-pyrrolidine	C4H8N2O	100.1191	C19285
HMDB0031643	Ethyl pyruvate	C5H8O3	116.1152	
HMDB0031644	1,1-Diethoxyethane	C6H14O2	118.1742	
HMDB0031645	Acetamide	C2H5NO	59.0672	C06244
HMDB0031646	Acetic anhydride	C4H6O3	102.0886	
HMDB0031647	Acrylic acid	C3H4O2	72.0627	C19501
HMDB0031648	2,4-Pentanedione	C5H8O2	100.1158	C15499
HMDB0031651	N-(3-Methylbutyl)acetamide	C6H13NO	115.1735	
HMDB0031652	Allyl alcohol	C3H6O	58.0791	C02001
HMDB0031653	3-(Methylthio)-1-propene	C4H8S	88.171	
HMDB0031654	3-Aminobutanoic acid	C4H9NO2	103.1198	
HMDB0031655	Rhamnetin 3-laminaribioside	C28H32O17	640.5435	
HMDB0031656	Jaceidin 4'-glucuronide	C24H24O14	536.439	
HMDB0031657	Ferreirin	C16H14O6	302.2788	C10419
HMDB0031658	L-2-Amino-5-hydroxypentanoic acid	C5H11NO3	133.1457	
HMDB0031659	3-Methyl-1-butylamine	C5H13N	87.1634	C02640
HMDB0031660	Dibutyl sulfide	C8H18S	146.294	
HMDB0031661	3-Isovalidene-3alpha,4-dihydrophthalide	C13H16O2	204.2649	
HMDB0031663	3-(3-Methylbutylidene)-1(3H)-isobenzofuranone	C13H14O2	202.2491	
HMDB0031664	Alnustone	C19H18O	262.352	
HMDB0031665	Daucic acid	C7H8O7	204.1342	
HMDB0031666	Diethyl sulfide	C4H10S	90.187	C02272
HMDB0031667	Nor-psi-tropine	C7H13NO	127.1842	
HMDB0031668	Dihydrodeoxy-8-epiaustdiol	C12H14O4	222.2372	
HMDB0031669	Captafol	C10H9Cl4NO2S	349.061	C18754
HMDB0031670	1-(Hydroxymethyl)-5,5-dimethyl-2,4-imidazolidinedione	C6H10N2O3	158.1552	
HMDB0031671	2,4,6-Trimethyl-1,3,5-trithiane	C6H12S3	180.354	
HMDB0031672	Armillaribin	C24H30O5	398.492	
HMDB0031673	Armillarilin	C24H30O7	430.4908	
HMDB0031674	Armillarinin	C24H29ClO7	464.936	
HMDB0031675	3beta-Acetoxy-11alpha-methoxy-12-ursen-28-oic acid	C34H54O5	542.7896	
HMDB0031676	5a,6a-Epoxy-7E-megastigmene-3a,9e-diol 3-glucoside	C19H32O8	388.4526	
HMDB0031677	5-(14-Nonadecenyl)-1,3-benzenediol	C25H42O2	374.5998	
HMDB0031678	Pipericine	C22H41NO	335.567	
HMDB0031680	1-O-beta-D-Glucopyranosyl-2,3-di-O-palmitoylglycerol	C41H78O10	731.052	
HMDB0031681	Dihydro-5-propyl-2(3H)-furanone	C7H12O2	128.169	
HMDB0031682	(±)-2-Methylthiazolidine	C4H9NS	103.186	
HMDB0031683	xi-Dihydro-5-octyl-2(3H)-furanone	C12H22O2	198.3019	
HMDB0031684	2-Methyloctanal	C9H18O	142.2386	
HMDB0031685	2,4-Nonadienal	C9H14O	138.2069	
HMDB0031686	(E,E)-2,4-Octadienal	C8H12O	124.1803	
HMDB0031687	1,2-Di-O-myristoyl-3-O-(6-sulfoquinovopyranosyl)glycerol	C37H70O12S	739.01	
HMDB0031688	Hexyl glucoside	C12H24O6	264.3154	
HMDB0031689	1-Hexanol arabinosylglucoside	C17H32O10	396.43	
HMDB0031690	cis-3-Hexenyl b-primeveroside	C17H30O10	394.4141	
HMDB0031691	cis-3-Hexenyl pentanoate	C11H20O2	184.2753	
HMDB0031692	cis-3-Hexenyl trans-4-hexenoate	C12H20O2	196.286	
HMDB0031693	Ethyl (S)-3-hydroxybutyrate glucoside	C12H22O8	294.2983	
HMDB0031694	Butyl (S)-3-hydroxybutyrate glucoside	C14H26O8	322.3514	
HMDB0031695	xi-3-Hydroxy-5-phenylpentanoic acid O-beta-D-Glucopyranoside	C17H24O8	356.3677	
HMDB0031696	Dibutyl malate	C12H22O5	246.3001	
HMDB0031697	Lucuminamide	C19H27NO11	445.4178	
HMDB0031698	S-(3-Methyl-2-butenyl) ethanethioate	C7H12OS	144.235	
HMDB0031699	S-(3-Methyl-2-butenyl) 2-methylpropanethioate	C9H16OS	172.288	
HMDB0031700	1-(Malonylamino)cyclopropanecarboxylic acid	C7H9NO5	187.1501	
HMDB0031701	1-(gamma-Glutamylamino)cyclopropanecarboxylic acid	C9H14N2O5	230.2179	
HMDB0031702	1-Piperidinecarboxaldehyde	C6H11NO	113.1576	
HMDB0031703	2-Ethylbutyl acetate	C8H16O2	144.2114	
HMDB0031704	Danielone	C10H12O5	212.1993	C10674
HMDB0031705	Heliannone A	C17H16O5	300.3059	
HMDB0031706	3,4-Dihydroxyphenacyl caffeate	C17H14O7	330.2889	
HMDB0031707	1,2-Ethanedithiol	C2H6S2	94.199	
HMDB0031708	1,2-Bis(methylthio)ethane	C4H10S2	122.252	
HMDB0031709	1,6-Hexanedithiol	C6H14S2	150.305	
HMDB0031710	1,9-Nonanedithiol	C9H20S2	192.385	
HMDB0031711	15-Hexadecanolide	C16H30O2	254.4082	
HMDB0031712	(±)-Glycerol 1,2-diacetate	C7H12O5	176.1672	
HMDB0031713	2-Hydroxy-4-imino-2,5-cyclohexadienone	C6H5NO2	123.1094	
HMDB0031714	Methylthiomethyl 2-methylbutanethiolate	C7H14OS2	178.315	
HMDB0031715	6-Hydroxydaidzein	C15H10O5	270.2369	C14314
HMDB0031716	3-(Methylthio)-1-propanol	C4H10OS	106.187	
HMDB0031717	3-(Methylthio)propyl acetate	C6H12O2S	148.223	
HMDB0031718	(Methylthio)acetaldehyde	C3H6OS	90.144	
HMDB0031719	1,2,4,6-Tetrathiepane	C3H6S4	170.34	
HMDB0031720	Xenognosin B	C16H12O5	284.2635	C02920
HMDB0031721	Leonuriside A	C14H20O9	332.3032	
HMDB0031722	3,4,5-Trimethoxyphenyl acetate	C11H14O5	226.2259	
HMDB0031723	Trichocarposide	C22H24O9	432.4206	
HMDB0031724	Moringyne	C15H20O7	312.3151	
HMDB0031725	(E)-3-(2-Hydroxyphenyl)-2-propenal	C9H8O2	148.1586	
HMDB0031726	cis-Mulberroside A	C26H32O14	568.5239	
HMDB0031727	Alphachloralose	C8H11Cl3O6	309.528	
HMDB0031728	2-Hexylidenecyclopentanone	C11H18O	166.26	
HMDB0031729	Phenylmethylglycidic ester	C12H14O3	206.2378	
HMDB0031730	3,5,5-Trimethylhexanal	C9H18O	142.2386	
HMDB0031731	3-Methyl-1-phenyl-3-pentanol	C12H18O	178.2707	
HMDB0031732	3-Nonanol	C9H20O	144.2545	
HMDB0031733	4-(4-Methyl-3-pentenyl)-3-cyclohexene-1-carboxaldehyde	C13H20O	192.2973	
HMDB0031734	2-Methylundecanal	C12H24O	184.3184	
HMDB0031735	Ethyl maltol	C7H8O3	140.1366	C20362
HMDB0031736	2-Hexyl-3-phenyl-2-propenal	C15H20O	216.3187	
HMDB0031737	delta-Methylionone	C14H22O	206.3239	
HMDB0031738	3-Methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-3-buten-2-one	C14H22O	206.3239	
HMDB0031739	7-Hydroxy-3,7-dimethyloctanal	C10H20O2	172.2646	
HMDB0031740	Methyl dihydrojasmonate	C13H22O3	226.312	
HMDB0031741	Coniferan	C13H24O2	212.3285	
HMDB0031742	4-(2-Nitroethyl)phenyl primeveroside	C19H27NO12	461.4172	
HMDB0031743	(±)-2',4',5,7-Tetrahydroxy-3',8-diprenylisoflavanone	C25H28O6	424.4862	
HMDB0031744	Artocarbene	C19H18O4	310.3438	
HMDB0031745	1,2,4-Trigalloyl-beta-D-glucopyranose	C27H24O18	636.4687	
HMDB0031746	Vescalin	C27H20O18	632.4369	
HMDB0031748	Chinenoside I	C49H80O23	1037.1457	
HMDB0031749	Annomutacin	C37H68O7	624.9316	
HMDB0031751	y-Morphine	C34H36N2O6	568.6594	
HMDB0031752	(S,E)-Zearalenone	C18H22O5	318.3643	C09981
HMDB0031753	2-(4-Allyl-2-methoxyphenoxy)-1-(4-hydroxy-3-methoxyphenyl)-1-propanol	C20H24O5	344.4016	
HMDB0031754	Nequinate	C22H23NO4	365.4223	
HMDB0031756	Veranisatin C	C16H20O10	372.324	
HMDB0031757	Notoginsenoside J	C42H74O16	835.0274	
HMDB0031758	Allithiamine	C15H22N4O2S2	354.491	
HMDB0031759	(E)-4-Oxo-2-hexen-1-al	C6H8O2	112.1265	
HMDB0031760	Gentisin	C14H10O5	258.2262	C10066
HMDB0031761	Propyl benzoate	C10H12O2	164.2011	
HMDB0031762	Carbadox	C11H10N4O4	262.2215	
HMDB0031763	Methyl 7-epi-12-hydroxyjasmonate glucoside	C19H30O9	402.4361	
HMDB0031764	Nifursol	C12H7N5O9	365.2121	
HMDB0031766	Alachlor	C14H20ClNO2	269.767	C10928
HMDB0031767	Benomyl	C14H18N4O3	290.3177	C10896
HMDB0031768	Iprobenfos	C13H21O3PS	288.343	C15230
HMDB0031769	Carbendazim	C9H9N3O2	191.1867	C10897
HMDB0031770	Carbofuran	C12H15NO3	221.2524	C14291
HMDB0031771	1-(2,4,5-Trimethoxyphenyl)-1,2-propanedione	C12H14O5	238.2366	
HMDB0031772	1-Methoxy-1-(2,4,5-trimethoxyphenyl)-2-propanol	C13H20O5	256.2949	
HMDB0031773	Phytocassane E	C20H28O3	316.4345	
HMDB0031774	Lucyoside J	C42H66O15	810.9644	
HMDB0031775	AzI	C48H74O18	939.0904	
HMDB0031776	(6R,7S)-6,7-Epoxy-1,3-tetradecadiyne	C14H20O	204.308	
HMDB0031777	Asiminocin	C37H66O7	622.9157	
HMDB0031778	Diflubenzuron	C14H9ClF2N2O2	310.683	C14427
HMDB0031779	Isoprothiolane	C12H18O4S2	290.399	C11111
HMDB0031780	Dithianon	C14H4N2O2S2	296.324	C18574
HMDB0031781	O-Ethyl S,S-diphenyl phosphorodithioate	C14H15O2PS2	310.371	C14436
HMDB0031782	Ethiofencarb	C11H15NO2S	225.307	C18649
HMDB0031783	Etrimfos	C10H17N2O4PS	292.292	C18985
HMDB0031784	Halofuginone	C16H17BrClN3O3	414.681	
HMDB0031785	Robenidine	C15H13Cl2N5	334.203	
HMDB0031786	Rhodamine B	C28H31N2O3	443.5573	
HMDB0031787	Fenamiphos	C13H22NO3PS	303.357	C18659
HMDB0031788	Hexakis(2-methyl-2-phenylpropyl)distannoxane	C60H78OSn2	1052.68	C15435
HMDB0031789	(Acetyloxy)triphenylstannane	C20H18O2Sn	409.07	C18728
HMDB0031791	Fenvalerate	C25H22ClNO3	419.9	C10988
HMDB0031792	Folpet	C9H4Cl3NO2S	296.558	C18860
HMDB0031793	Heptenophos	C9H12ClO4P	250.616	C18660
HMDB0031794	Enilconazole	C14H14Cl2N2O	297.18	C18739
HMDB0031795	Iprodione	C13H13Cl2N3O3	330.167	C11208
HMDB0031796	Isofenphos	C15H24NO4PS	345.394	C11002
HMDB0031797	2-Isopropylphenyl methylcarbamate	C11H15NO2	193.2423	C18418
HMDB0031798	(±)-Leptophos	C13H10BrCl2O2PS	412.066	
HMDB0031799	Malonoben	C18H22N2O	282.3801	C19039
HMDB0031800	Mecarbam	C10H20NO5PS2	329.373	C18661
HMDB0031801	(±)-Mephosfolan	C8H16NO3PS2	269.321	
HMDB0031802	(±)-Metalaxyl	C15H21NO4	279.3315	C10947
HMDB0031803	(±)-Methamidophos	C2H8NO2PS	141.129	C18667
HMDB0031804	Methomyl	C5H10N2O2S	162.21	C11196
HMDB0031805	(E)-Monocrotophos	C7H14NO5P	223.1635	C18663
HMDB0031806	(±)-Naled	C4H7Br2Cl2O4P	380.784	C18749
HMDB0031808	Tecnazene	C6HCl4NO2	260.89	C18897
HMDB0031809	Tricyclazole	C9H7N3S	189.237	C18492
HMDB0031810	Tridemorph	C19H39NO	297.5191	C11285
HMDB0031811	3,5-Dimethylphenyl methylcarbamate	C10H13NO2	179.2157	C18771
HMDB0031812	Oxfendazole	C15H13N3O3S	315.347	
HMDB0031813	N-Carbamoyl-2-amino-2-(4-hydroxyphenyl)acetic acid	C9H10N2O4	210.1867	
HMDB0031814	Vitisin C	C56H42O12	906.9255	
HMDB0031815	Dicloralurea	C5H6Cl6N2O3	354.831	
HMDB0031816	3-Hydroxyflavone	C15H10O3	238.2381	C01495
HMDB0031817	Cuminyl alcohol	C10H14O	150.221	C06576
HMDB0031819	45-Hydroxyyessotoxin	C55H82O22S2	1159.356	
HMDB0031820	Neotussilagine	C10H17NO3	199.2469	
HMDB0031821	1,2-Diphenylcyclobutane	C16H16	208.2982	C14467
HMDB0031822	Nitarsone	C6H6AsNO5	247.0371	
HMDB0031823	Diphenyl disulfide	C12H10S2	218.338	
HMDB0031824	4',5,8-Trihydroxyflavanone	C15H12O5	272.2528	
HMDB0031825	Phenyl vinyl sulfide	C8H8S	136.214	
HMDB0031826	Fumonisin FP1	C39H62NO16	800.9067	
HMDB0031827	Fumonisin FP2	C39H62NO15	784.9073	
HMDB0031828	Fumonisin FP3	C39H62NO15	784.9073	
HMDB0031829	Bisosthenon B	C28H24O8	488.4854	
HMDB0031830	Ginsenoside Rg5	C42H70O12	766.998	
HMDB0031831	(20E)-Ginsenoside F4	C42H70O12	766.998	
HMDB0031832	Methyl methanethiosulfonate	C2H6O2S2	126.198	
HMDB0031833	Tiazuril	C17H14ClN3O2S	359.83	
HMDB0031834	(±)-2,6-Dimethyl-5-heptenal	C9H16O	140.2227	
HMDB0031835	Asparagoside C	C39H64O13	740.9177	
HMDB0031836	Asparagoside D	C45H74O18	903.0583	
HMDB0031837	3-O-trans-Feruloyleuscaphic acid	C40H56O8	664.8678	
HMDB0031838	Asparagoside E	C45H76O19	921.0735	
HMDB0031839	Ginsenoside F5	C41H70O13	770.9867	
HMDB0031840	(S,Z)-Lyratol acetate	C12H18O2	194.2701	
HMDB0031841	2,5-Dimethyl-3-propylpyrazine	C9H14N2	150.2209	
HMDB0031842	Rhapontigenin	C15H14O4	258.2693	
HMDB0031843	2,3-Undecanedione	C11H20O2	184.2753	
HMDB0031844	Trimethylpyrazine	C7H10N2	122.1677	
HMDB0031845	3-Propylidene-1(3H)-isobenzofuranone	C11H10O2	174.1959	
HMDB0031846	Geranylacetone	C13H22O	194.3132	C13297
HMDB0031847	2-Ethyl-3,4-dihydroxyfuran	C6H8O3	128.1259	
HMDB0031849	2-Ethylpyrazine	C6H8N2	108.1411	
HMDB0031850	2-Ethoxy-3-methylpyrazine	C7H10N2O	138.1671	
HMDB0031851	3-(5,6,6-Trimethylbicyclo[2.2.1]hept-1-yl)cyclohexanol	C16H28O	236.3929	
HMDB0031852	2-Methoxy-3-methylpyrazine	C6H8N2O	124.1405	
HMDB0031853	2-Thiophenemethanethiol	C5H6S2	130.231	
HMDB0031854	3-Methyl-5-propyl-2-cyclohexen-1-one	C10H16O	152.2334	
HMDB0031855	5-Methyl-2-phenyl-2-hexenal	C13H16O	188.2655	
HMDB0031856	(±)-2-Methyl-3-(4-methylphenyl)propanal	C11H14O	162.2283	
HMDB0031857	3-(Methylthio)propanal	C4H8OS	104.171	
HMDB0031858	4-Methyl-5-vinylthiazole	C6H7NS	125.191	
HMDB0031859	Norfuraneol	C5H6O3	114.0993	
HMDB0031860	2-Methoxy-3-(2-methylpropyl)pyrazine	C9H14N2O	166.2203	
HMDB0031861	2-Acetylpyrazine	C6H6N2O	122.1246	
HMDB0031862	2-(2-Methylpropyl)thiazole	C7H11NS	141.234	
HMDB0031863	gamma-Glutamyl-S-methylcysteine sulfoxide	C9H16N2O6S	280.298	
HMDB0031864	Methyleugenol	C11H14O2	178.2277	C10454
HMDB0031865	4'-tert-Butyl-2',6'-dimethyl-3',5'-dinitroacetophenone	C14H18N2O5	294.3031	
HMDB0031866	2-Methyl-4-phenyl-2-butanol	C11H16O	164.2441	
HMDB0031867	4-Acetyl-6-tert-butyl-1,1-dimethylindane	C17H24O	244.3719	
HMDB0031868	Monomethyl phenylphosphonate	C7H9O3P	172.1183	
HMDB0031869	(S,E)-Lyratol propanoate	C13H20O2	208.2967	
HMDB0031870	gamma-Glutamyl-S-(1-propenyl)cysteine sulfoxide	C11H18N2O6S	306.335	
HMDB0031871	Methyl propyl trisulfide	C4H10S3	154.317	
HMDB0031872	Methyl propyl disulfide	C4H10S2	122.252	
HMDB0031873	1,7-Diphenyl-4-hepten-3-one	C19H20O	264.3615	
HMDB0031874	N-gamma-Glutamyl-S-allylcysteine	C11H18N2O5S	290.336	
HMDB0031875	Methyl (methylthio)methyl disulfide	C3H8S3	140.291	
HMDB0031876	Prenyl glucoside	C11H20O6	248.2729	C09808
HMDB0031877	Acetylsalvipisone	C22H26O4	354.4394	
HMDB0031878	Physalin E acetate	C30H34O12	586.5838	
HMDB0031879	11a,12a-Epoxy-3b-hydroxy-28,13-oleananolide 3-acetate	C32H48O5	512.7205	
HMDB0031880	Ampeloside Bf2	C45H76O21	953.0723	
HMDB0031881	Ampeloside Bf1	C51H86O26	1115.2129	
HMDB0031882	Sandosapogenol	C30H48O3	456.7003	
HMDB0031883	Sandosaponin B	C48H76O19	957.1056	
HMDB0031884	Sandosaponin A	C48H76O19	957.117	
HMDB0031885	6-Hydroxypentadecanedioic acid	C15H28O5	288.3798	
HMDB0031886	Rollidecin D	C37H66O6	606.9163	
HMDB0031887	Rollidecin C	C35H62O6	578.8632	
HMDB0031888	Theacitrin A	C37H28O18	760.6074	
HMDB0031889	(1(10)E,4E,6a,8b)-8-Angeloyloxy-14-oxo-1(10),4,11(13)-germacratrien-12,6-olide	C20H24O5	344.4016	
HMDB0031890	7-(Methylthio)heptanenitrile	C8H15NS	157.276	
HMDB0031891	Capsianoside III	C50H84O26	1101.1864	
HMDB0031892	Capsianoside II	C50H84O25	1085.187	
HMDB0031893	Squamoxinone	C37H68O7	624.9316	
HMDB0031894	Castacrenin F	C55H30O33	1218.8069	
HMDB0031895	Castacrenin G	C54H28O32	1188.7809	
HMDB0031896	Erinacine D	C27H42O7	478.6182	
HMDB0031897	Phaseolic acid	C12H22O6	262.2995	
HMDB0031898	Porric acid C	C14H10O5	258.2262	
HMDB0031899	Theacitrin C	C44H32O22	912.7117	
HMDB0031900	Methyl (2E,4Z,6E,8E,10E)-4,8-dimethyl-12-oxo-2,4,6,8,10-dodecapentaenoate	C15H18O3	246.3016	
HMDB0031901	Blennin A	C15H22O3	250.3334	
HMDB0031902	Blennin D	C15H22O4	266.3328	
HMDB0031903	Castacrenin D	C48H30O30	1086.7338	
HMDB0031904	Castacrenin E	C47H28O29	1056.7078	
HMDB0031905	Chatenaytrienin 3	C37H64O2	540.9029	
HMDB0031906	Muridienin 4	C37H66O2	542.9187	
HMDB0031907	Muridienin 3	C37H66O2	542.9187	
HMDB0031908	Chatenaytrienin 4	C37H64O2	540.9029	
HMDB0031909	Muridienin 2	C37H66O2	542.9187	
HMDB0031910	Chatenaytrienin 1	C35H60O2	512.8497	
HMDB0031911	Porric acid B	C15H12O6	288.2522	
HMDB0031912	Porric acid A	C16H14O6	302.2788	
HMDB0031913	5alpha-Tomatidan-3-one	C27H43NO2	413.6358	
HMDB0031914	Anhydrosafflor Yellow B	C48H52O26	1044.9109	
HMDB0031915	Omphalotin A	C69H115N13O12	1318.7313	
HMDB0031916	5-Hydroxy-2-(1-hydroxy-5-methyl-4-hexenyl)benzofuran	C15H18O3	246.3016	
HMDB0031917	Dulxanthone C	C25H28O6	424.4862	
HMDB0031918	Suspensolide F	C21H34O12	478.4875	
HMDB0031919	Chaetoglobosin N	C33H38N2O5	542.6652	
HMDB0031920	9-Hydroxycalabaxanthone	C24H24O6	408.4438	
HMDB0031921	(R)-Norisocorydine	C19H21NO4	327.3743	
HMDB0031922	1-(2,4-Dihydroxyphenyl)-3-[8-hydroxy-2-methyl-2-(4-methyl-3-pentenyl)-2H-1-benzopyran-5-yl]-1-propanone	C25H28O5	408.4868	
HMDB0031923	10,20-Dihydroxyeicosanoic acid	C20H40O4	344.5292	
HMDB0031924	4-Nerolidylcatechol	C21H30O2	314.4617	
HMDB0031925	5-Hydroxy-2-(5-methyl-1-oxo-4-hexenyl)benzofuran	C15H16O3	244.2857	
HMDB0031926	Trilobalicin	C35H62O8	610.862	
HMDB0031927	Glyurallin B	C25H26O6	422.4703	
HMDB0031928	Panaxytriol	C17H26O3	278.3865	C16792
HMDB0031929	Zanthodioline	C16H19NO5	305.3258	
HMDB0031930	Benzosimuline	C20H19NO2	305.3704	
HMDB0031931	Stigmast-22-ene-3,6-dione	C29H46O2	426.6743	
HMDB0031932	11,12,14-Trihydroxy-7-methoxy-8,11,13-abietatrien-20,6-olide	C21H28O6	376.4434	
HMDB0031933	11,12-Dihydroxy-7,14-dimethoxy-8,11,13-abietatrien-20,6-olide	C22H30O6	390.47	
HMDB0031934	(9S,10E,12Z,15Z)-9-Hydroxy-10,12,15-octadecatrienoic acid	C18H30O3	294.429	
HMDB0031935	Blumenol C O-[rhamnosyl-(1->6)-glucoside]	C25H42O11	518.5944	
HMDB0031936	Blumenol C O-[apiosyl-(1->6)-glucoside]	C24H40O11	504.5678	
HMDB0031937	Squamocin F	C37H66O7	622.9157	
HMDB0031938	Arachisprenol 10	C50H82O	699.1855	
HMDB0031939	Arachisprenol 11	C55H90O	767.3025	
HMDB0031940	Arachisprenol 12	C60H98O	835.4195	
HMDB0031941	8'-Episesaminone	C20H18O7	370.3527	
HMDB0031942	Niazinin	C15H21NO6S	343.39	
HMDB0031943	O-Methyl-4-[(2',3',4'-tri-O-acetyl-alpha-L-rhamnosyloxy)benzyl]thiocarbamate	C21H27NO9S	469.505	
HMDB0031944	Niazimicin	C16H23NO6S	357.42	
HMDB0031945	Niaziminin	C18H25NO7S	399.46	
HMDB0031946	O-Ethyl-4-[(2',3',4'-tri-O-acetyl-alpha-L-rhamnosyloxy)benzyl]thiocarbamate	C22H29NO9S	483.532	
HMDB0031947	Niazicinin	C17H23NO8	369.37	
HMDB0031948	O-Methyl-4-[(2',3',4'-tri-O-acetyl-alpha-L-rhamnosyloxy)benzyl]carbamate	C21H27NO10	453.444	
HMDB0031949	O-Ethyl-4-[(2',3',4'-tri-O-acetyl-alpha-L-rhamnosyloxy)benzyl]carbamate	C22H29NO10	467.471	
HMDB0031950	L-2-Aminoethyl seryl phosphate	C5H13N2O6P	228.1403	C03872
HMDB0031951	28-Methyl-27-nonacosenoic acid	C30H58O2	450.7803	
HMDB0031952	1-(5-Methyl-3-pyridinyl)-1-decanone	C16H25NO	247.3758	
HMDB0031953	3,5-Dihydroxyergosta-7,22-dien-6-one	C28H44O3	428.6472	
HMDB0031954	3-Methyl-3-butenyl apiosyl-(1->6)-glucoside	C16H28O10	380.3875	
HMDB0031955	Dimethyl (1R*,2S*,3S*)-2-carboxy-3-(3,4-dihydroxyphenyl)-2,3-dihydro-5,6-dihydroxy-1H-indene-1-acetate	C20H20O8	388.368	
HMDB0031956	Prenyl apiosyl-(1->6)-glucoside	C16H28O10	380.3875	
HMDB0031957	3-Epicycloeucalenol	C30H50O	426.7174	
HMDB0031958	3-O-Acetylepisamarcandin	C26H34O6	442.5446	
HMDB0031959	Lablaboside D	C60H94O28	1263.3716	
HMDB0031960	Lablaboside E	C66H106O32	1411.5286	
HMDB0031961	Lablaboside F	C66H106O31	1395.5292	
HMDB0031962	Tsugaric acid B	C33H52O5	528.763	
HMDB0031963	(3b,6b,8a,12a)-8,12-Epoxy-7(11)-eremophilene-6,8,12-trimethoxy-3-ol	C18H30O5	326.4278	
HMDB0031964	(3b,6b,8b,12a)-8,12-Epoxy-7(11)-eremophilene-6-angeloyloxy-8,12-dimethoxy-3-ol	C22H34O6	394.5018	
HMDB0031965	Melilotussaponin O1	C53H86O22	1075.2367	
HMDB0031967	Precarthamin	C21H24O11	452.4087	
HMDB0031968	Malvidin 3-glucoside-4-vinylphenol	C31H29O13	609.5542	
HMDB0031969	3-Hydroxy-2-(4-methylbenzoyl)-4H-1-benzopyran-4-one	C17H12O4	280.2748	
HMDB0031970	1beta-Hydroxyalantolactone	C15H20O3	248.3175	
HMDB0031971	Xanthotoxol arabinoside	C16H14O8	334.2776	
HMDB0031972	Heliespirone A	C15H20O4	264.3169	
HMDB0031973	(2RS,5RS)-(E)-2-(2-Phenylethenyl)-1,3-dioxan-5-ol	C12H14O3	206.2378	
HMDB0031974	Malvidin 6-(6-p-coumaroylglucoside)-4-vinylphenol	C40H35O15	755.6969	
HMDB0031975	3-Methoxy-2-(4-methylbenzoyl)-4H-1-benzopyran-4-one	C18H14O4	294.3014	
HMDB0031976	Methyl (9Z)-10'-oxo-6,10'-diapo-6-carotenoate	C20H24O3	312.4028	
HMDB0031977	Methyl (9Z)-6'-oxo-6,5'-diapo-6-carotenoate	C26H32O3	392.5305	
HMDB0031978	Methyl (9Z)-6'-oxo-6,6'-diapo-6-carotenoate	C25H30O3	378.5039	
HMDB0031979	Methyl (9Z)-8'-oxo-6,8'-diapo-6-carotenoate	C23H28O3	352.4666	
HMDB0031980	Amino (methoxysulfinyl) pentasulfide	CH5NO2S6	255.446	
HMDB0031981	Niazidin	C15H18N2O6S	354.38	
HMDB0031982	3-Mercapto-2-butanone	C4H8OS	104.171	
HMDB0031983	Lucyobroside	C39H73NO9	699.9982	
HMDB0031984	2,5-Dimethoxy-4-(2-propenyl)phenol	C11H14O3	194.2271	
HMDB0031985	gamma-Glutamyl-S-methylcysteine	C9H16N2O5S	264.299	
HMDB0031986	C.I. Pigment Red 149	C40H26N2O4	598.6454	
HMDB0031987	Sulforhodamine B	C27H30N2O7S2	558.666	
HMDB0031988	Licorice glycoside B	C35H36O15	696.6513	
HMDB0031989	Licorice glycoside A	C36H38O16	726.6773	
HMDB0031990	Pitheduloside K	C52H84O22	1061.2102	
HMDB0031991	Negletein 6-[rhamnosyl-(1->2)-fucoside]	C28H32O13	576.5459	C10023
HMDB0031992	Dulxanthone A	C19H18O6	342.3426	
HMDB0031993	Glyurallin A	C21H20O5	352.3805	
HMDB0031994	Licorice glycoside D1	C35H36O15	696.6513	
HMDB0031995	Licorice glycoside C1	C36H38O16	726.6773	
HMDB0031996	Licorice glycoside E	C35H35NO14	693.6507	
HMDB0031997	Simulenoline	C20H23NO3	325.4015	
HMDB0031998	Peroxysimulenoline	C20H23NO4	341.4009	
HMDB0031999	Casuarine 6-alpha-D-glucoside	C14H25NO10	367.349	
HMDB0032000	Raphanatin	C16H23N5O6	381.3837	
HMDB0032001	N-(2,4-Eicosadienoyl)piperidine	C25H45NO	375.6309	
HMDB0032002	Dehydrotomatine	C50H81NO21	1032.1722	
HMDB0032003	Eremopetasin sulfoxide	C19H26O4S	350.472	
HMDB0032004	Ergostane-3,6-dione	C28H46O2	414.6636	
HMDB0032005	2-Geranyl-2',3,4,4'-tetrahydroxydihydrochalcone	C25H30O5	410.5027	
HMDB0032006	Epifisetinidol-(4beta->8)-epicatechin-(6->4beta)-epifisetinidol	C45H38O16	834.7736	
HMDB0032007	Epifisetinidol-(4beta->8)-catechin	C30H26O11	562.5208	
HMDB0032008	Kaempferol 3-sophorotrioside	C33H40O21	772.662	C12635
HMDB0032009	Quercetin 3-(glucosyl-(1->4)-rhamnoside) 7-rutinoside	C39H50O25	918.7993	
HMDB0032010	Gibberellin A110	C20H28O5	348.439	
