HMDB	name	chemical_formula	average_molecular_weight	kegg_id
HMDB0000148	L-Glutamic acid	C5H9NO4	147.1293	C00025
HMDB0000149	Ethanolamine	C2H7NO	61.0831	C00189
HMDB0000150	Gluconolactone	C6H10O6	178.14	C00198
HMDB0000151	Estradiol	C18H24O2	272.382	C00951
HMDB0000152	Gentisic acid	C7H6O4	154.121	C00628
HMDB0000153	Estriol	C18H24O3	288.3814	C05141
HMDB0000156	Malic acid	C4H6O5	134.0874	C00149
HMDB0000157	Hypoxanthine	C5H4N4O	136.1115	C00262
HMDB0000158	L-Tyrosine	C9H11NO3	181.1885	C00082
HMDB0000159	L-Phenylalanine	C9H11NO2	165.1891	C00079
HMDB0000161	L-Alanine	C3H7NO2	89.0932	C00041
HMDB0000162	L-Proline	C5H9NO2	115.1305	C00148
HMDB0000163	D-Maltose	C12H22O11	342.2965	C00208
HMDB0000164	Methylamine	CH5N	31.0571	C00218
HMDB0000167	L-Threonine	C4H9NO3	119.1192	C00188
HMDB0000168	L-Asparagine	C4H8N2O3	132.1179	C00152
HMDB0000169	D-Mannose	C6H12O6	180.1559	C00936
HMDB0000172	L-Isoleucine	C6H13NO2	131.1729	C00407
HMDB0000174	L-Fucose	C6H12O5	164.1565	C01019
HMDB0000175	Inosinic acid	C10H13N4O8P	348.206	C00130
HMDB0000176	Maleic acid	C4H4O4	116.0722	C01384
HMDB0000177	L-Histidine	C6H9N3O2	155.1546	C00135
HMDB0000181	L-Dopa	C9H11NO4	197.1879	C00355
HMDB0000182	L-Lysine	C6H14N2O2	146.1876	C00047
HMDB0000186	Alpha-Lactose	C12H22O11	342.2965	C00243
HMDB0000187	L-Serine	C3H7NO3	105.0926	C00065
HMDB0000189	Inosine triphosphate	C10H15N4O14P3	508.1658	C00081
HMDB0000190	L-Lactic acid	C3H6O3	90.0779	C00186
HMDB0000191	L-Aspartic acid	C4H7NO4	133.1027	C00049
HMDB0000192	L-Cystine	C6H12N2O4S2	240.3	C00491
HMDB0000193	Isocitric acid	C6H8O7	192.1235	C00311
HMDB0000194	Anserine	C10H16N4O3	240.259	C01262
HMDB0000195	Inosine	C10H12N4O5	268.2261	C00294
HMDB0000197	Indoleacetic acid	C10H9NO2	175.184	C00954
HMDB0000201	L-Acetylcarnitine	C9H18NO4	204.2435	
HMDB0000202	Methylmalonic acid	C4H6O4	118.088	C02170
HMDB0000205	Phenylpyruvic acid	C9H8O3	164.158	C00166
HMDB0000206	N6-Acetyl-L-lysine	C8H16N2O3	188.2242	C02727
HMDB0000207	Oleic acid	C18H34O2	282.4614	C00712
HMDB0000208	Oxoglutaric acid	C5H6O5	146.0981	C00026
HMDB0000209	Phenylacetic acid	C8H8O2	136.1479	C07086
HMDB0000210	Pantothenic acid	C9H17NO5	219.235	C00864
HMDB0000211	myo-Inositol	C6H12O6	180.1559	C00137
HMDB0000212	N-Acetylgalactosamine	C8H15NO6	221.2078	C01074
HMDB0000213	myo-Inositol 1-phosphate	C6H13O9P	260.135	C01177
HMDB0000214	Ornithine	C5H12N2O2	132.161	C00077
HMDB0000215	N-Acetyl-D-glucosamine	C8H15NO6	221.2078	C00140
HMDB0000216	Norepinephrine	C8H11NO3	169.1778	C00547
HMDB0000217	NADP	C21H28N7O17P3	743.405	C00006
HMDB0000218	Orotidylic acid	C10H13N2O11P	368.1908	C01103
HMDB0000220	Palmitic acid	C16H32O2	256.4241	C00249
HMDB0000221	NADPH	C21H30N7O17P3	745.4209	C00005
HMDB0000222	Palmitoylcarnitine	C23H46NO4	400.623	C02990
HMDB0000223	Oxalacetic acid	C4H4O5	132.0716	C00036
HMDB0000224	O-Phosphoethanolamine	C2H8NO4P	141.063	C00346
HMDB0000225	Oxoadipic acid	C6H8O5	160.1247	C00322
HMDB0000226	Orotic acid	C5H4N2O4	156.0963	C00295
HMDB0000227	Mevalonic acid	C6H12O4	148.1571	C00418
HMDB0000228	Phenol	C6H6O	94.1112	C15584
HMDB0000229	Nicotinamide ribotide	C11H16N2O8P	335.2271	C00455
HMDB0000230	N-Acetylneuraminic acid	C11H19NO9	309.2699	C19910
HMDB0000232	Quinolinic acid	C7H5NO4	167.1189	C03722
HMDB0000234	Testosterone	C19H28O2	288.4244	C00535
HMDB0000235	Thiamine	C12H17N4OS	265.355	C00378
HMDB0000237	Propionic acid	C3H6O2	74.0785	C00163
HMDB0000238	Sepiapterin	C9H11N5O3	237.2153	C00835
HMDB0000239	Pyridoxine	C8H11NO3	169.1778	C00314
HMDB0000240	Sulfite	H2O3S	82.079	C00094
HMDB0000241	Protoporphyrin IX	C34H34N4O4	562.6582	C02191
HMDB0000243	Pyruvic acid	C3H4O3	88.0621	C00022
HMDB0000244	Riboflavin	C17H20N4O6	376.3639	C00255
HMDB0000245	Porphobilinogen	C10H14N2O4	226.2292	C00931
HMDB0000246	Tetrahydrofuran	C4H8O	72.1057	
HMDB0000247	Sorbitol	C6H14O6	182.1718	C00794
HMDB0000248	Thyroxine	C15H11I4NO4	776.87	C01829
HMDB0000250	Pyrophosphate	H4O7P2	177.9751	C00013
HMDB0000251	Taurine	C2H7NO3S	125.147	C00245
HMDB0000252	Sphingosine	C18H37NO2	299.4919	C00319
HMDB0000253	Pregnenolone	C21H32O2	316.4776	C01953
HMDB0000254	Succinic acid	C4H6O4	118.088	C00042
HMDB0000256	Squalene	C30H50	410.73	C00751
HMDB0000257	Thiosulfate	H2O3S2	114.144	C05529
HMDB0000258	Sucrose	C12H22O11	342.2965	C00089
HMDB0000259	Serotonin	C10H12N2O	176.2151	C00780
HMDB0000262	Thymine	C5H6N2O2	126.1133	C00178
HMDB0000263	Phosphoenolpyruvic acid	C3H5O6P	168.042	C00074
HMDB0000265	Liothyronine	C15H12I3NO4	650.9735	C02465
HMDB0000267	Pyroglutamic acid	C5H7NO3	129.114	C01879
HMDB0000268	Tetrahydrocorticosterone	C21H34O4	350.4923	C05476
HMDB0000269	Sphinganine	C18H39NO2	301.5078	C00836
HMDB0000271	Sarcosine	C3H7NO2	89.0932	C00213
HMDB0000272	Phosphoserine	C3H8NO6P	185.0725	C01005
HMDB0000273	Thymidine	C10H14N2O5	242.2286	C00214
HMDB0000277	Sphingosine 1-phosphate	C18H38NO5P	379.4718	C06124
HMDB0000279	Saccharopine	C11H20N2O6	276.2863	C00449
HMDB0000280	Phosphoribosyl pyrophosphate	C5H13O14P3	390.0696	C00119
HMDB0000283	D-Ribose	C5H10O5	150.1299	C00121
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	484.1411	C00075
HMDB0000286	Uridine diphosphate glucose	C15H24N2O17P2	566.3018	C00029
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	324.1813	C00105
HMDB0000289	Uric acid	C5H4N4O3	168.1103	C00366
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	607.3537	C00043
HMDB0000291	Vanillylmandelic acid	C9H10O5	198.1727	C05584
HMDB0000292	Xanthine	C5H4N4O2	152.1109	C00385
HMDB0000293	Xanthosine 5-triphosphate	C10H15N4O15P3	524.1652	C00700
HMDB0000294	Urea	CH4N2O	60.0553	C00086
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	404.1612	C00015
