HMDB_ID,NAME,SMILES,INCHIKEY,CHEMICAL_FORMULA,AVERAGE_MASS,MONO_MASS
HMDB0090722,CL(i-14:0/i-13:0/i-13:0/a-21:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC(C)CC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,XIYKNZWAZBKDLK-DNPRRJKTSA-N,C70H136O17P2,1311.789,1310.925276915
HMDB0090723,CL(i-14:0/i-13:0/i-13:0/i-22:0),[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,JGIUUVSPQQYZTF-WWKUUFCESA-N,C71H138O17P2,1325.816,1324.94092698
HMDB0090724,CL(i-14:0/i-13:0/a-13:0/i-22:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C,REPYLMKWDZQBON-IJMAZUILSA-N,C71H138O17P2,1325.816,1324.94092698
HMDB0090725,CL(i-14:0/a-13:0/a-13:0/i-22:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,POPAVNXJZSQKIW-VKIXXVAZSA-N,C71H138O17P2,1325.816,1324.94092698
HMDB0090726,CL(i-14:0/a-13:0/i-13:0/i-22:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,XXGAFCBKDMRTIY-OGILQYNYSA-N,C71H138O17P2,1325.816,1324.94092698
HMDB0090727,CL(i-14:0/i-13:0/i-13:0/i-24:0),[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,YWQBOHWOCWFXKN-SHBPMHELSA-N,C73H142O17P2,1353.87,1352.972227108
HMDB0090728,CL(i-14:0/i-13:0/a-13:0/i-24:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCCCC(C)C,HQWMBPINSUMYRH-ADOBSLNNSA-N,C73H142O17P2,1353.87,1352.972227108
HMDB0090729,CL(i-14:0/a-13:0/a-13:0/i-24:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,ZKYWRQXKVOPKQF-CNCDLFKZSA-N,C73H142O17P2,1353.87,1352.972227108
HMDB0090730,CL(i-14:0/a-13:0/i-13:0/i-24:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,UTGCTGPPWLLSHO-VZZKVGHUSA-N,C73H142O17P2,1353.87,1352.972227108
HMDB0090731,CL(i-14:0/a-13:0/i-13:0/a-25:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC(C)CC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,BSLKFZXHDOVSAM-NDUGWDHISA-N,C74H144O17P2,1367.897,1366.987877173
