HMDB_ID,NAME,SMILES,INCHIKEY,CHEMICAL_FORMULA,AVERAGE_MASS,MONO_MASS
HMDB0000258,Sucrose,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,CZMRCDWAGMRECN-UGDNZRGBSA-N,C12H22O11,342.2965,342.116211546
HMDB0000267,Pyroglutamic acid,OC(=O)[C@@H]1CCC(=O)N1,ODHCTXKNWHHXJC-VKHMYHEASA-N,C5H7NO3,129.114,129.042593095
HMDB0000292,Xanthine,O=C1NC2=C(NC=N2)C(=O)N1,LRFVTYWOQMYALW-UHFFFAOYSA-N,C5H4N4O2,152.1109,152.033425392
HMDB0000294,Urea,NC(N)=O,XSQUKJJJFZCRTK-UHFFFAOYSA-N,CH4N2O,60.0553,60.03236276
HMDB0000301,Urocanic acid,OC(=O)\C=C\C1=CNC=N1,LOIYMIARKYCTBW-OWOJBTEDSA-N,C6H6N2O2,138.124,138.042927446
HMDB0000323,3-Amino-2-piperidone,NC1CCCNC1=O,YCCMTCQQDULIFE-UHFFFAOYSA-N,C5H10N2O,114.1457,114.079312952
HMDB0000482,Caprylic acid,CCCCCCCC(O)=O,WWZKQHOCKIZLMA-UHFFFAOYSA-N,C8H16O2,144.2114,144.115029756
HMDB0000492,Chloride ion,[Cl-],VEXZGXHMUGYJMC-UHFFFAOYSA-M,Cl,35.453,34.968852707
HMDB0000500,4-Hydroxybenzoic acid,OC(=O)C1=CC=C(O)C=C1,FJKROLUGYXJWQN-UHFFFAOYSA-N,C7H6O3,138.122,138.031694053
HMDB0000511,Capric acid,CCCCCCCCCC(O)=O,GHVNFZFCNZKVNT-UHFFFAOYSA-N,C10H20O2,172.2646,172.146329884
HMDB0000517,L-Arginine,N[C@@H](CCCNC(N)=N)C(O)=O,ODKSFYDXXFIFQN-BYPYZUCNSA-N,C6H14N4O2,174.201,174.111675712
HMDB0000535,Caproic acid,CCCCCC(O)=O,FUZZWVXGSFPDMH-UHFFFAOYSA-N,C6H12O2,116.1583,116.083729628
HMDB0000562,Creatinine,CN1CC(=O)NC1=N,DDRJAANPRJIHGJ-UHFFFAOYSA-N,C4H7N3O,113.1179,113.058911861
HMDB0000574,L-Cysteine,N[C@@H](CS)C(O)=O,XUJNEKJLAYXESH-REOHCLBHSA-N,C3H7NO2S,121.158,121.019749163
HMDB0000638,Dodecanoic acid,CCCCCCCCCCCC(O)=O,POULHZVOKOAJMA-UHFFFAOYSA-N,C12H24O2,200.3178,200.177630012
HMDB0000641,Glutamine,N[C@@H](CCC(N)=O)C(O)=O,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3,146.1445,146.069142196
HMDB0000687,Leucine,CC(C)C[C@H](N)C(O)=O,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C6H13NO2,131.1729,131.094628665
HMDB0000696,Methionine,CSCC[C@H](N)C(O)=O,FFEARJCKVFRZRR-BYPYZUCNSA-N,C5H11NO2S,149.211,149.051049291
HMDB0000784,Azelaic acid,OC(=O)CCCCCCCC(O)=O,BDJRBEYXGGNYIS-UHFFFAOYSA-N,C9H16O4,188.2209,188.104859
HMDB0000826,Pentadecanoic acid,CCCCCCCCCCCCCCC(O)=O,WQEPLUUGTLDZJY-UHFFFAOYSA-N,C15H30O2,242.3975,242.224580204
HMDB0000827,Stearic acid,CCCCCCCCCCCCCCCCCC(O)=O,QIQXTHQIDYTFRH-UHFFFAOYSA-N,C18H36O2,284.4772,284.271530396
HMDB0000847,Pelargonic acid,CCCCCCCCC(O)=O,FBUKVWPVBMHYJY-UHFFFAOYSA-N,C9H18O2,158.238,158.13067982
HMDB0000883,L-Valine,CC(C)[C@H](N)C(O)=O,KZSNJWFQEVHDMF-BYPYZUCNSA-N,C5H11NO2,117.1463,117.078978601
HMDB0000904,Citrulline,N[C@@H](CCCNC(N)=O)C(O)=O,RHGKLRLOHDJJDR-BYPYZUCNSA-N,C6H13N3O3,175.1857,175.095691297
HMDB0000929,L-Tryptophan,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,QIVBCDIJIAJPQS-VIFPVBQESA-N,C11H12N2O2,204.2252,204.089877638
HMDB0000943,Threonic acid,OC[C@H](O)[C@@H](O)C(O)=O,JPIJQSOTBSSVTP-STHAYSLISA-N,C4H8O5,136.1033,136.037173366
HMDB0000990,Acetaldehyde,CC=O,IKHGUXGNUITLKF-UHFFFAOYSA-N,C2H4O,44.0526,44.02621475
HMDB0001147,Aminomalonic acid,NC(C(O)=O)C(O)=O,JINBYESILADKFW-UHFFFAOYSA-N,C3H5NO4,119.0761,119.021857653
HMDB0001266,L-Sorbose,OC[C@@]1(O)OC[C@H](O)[C@@H](O)[C@@H]1O,LKDRXBCSQODPBY-BGPJRJDNSA-N,C6H12O6,180.1559,180.063388116
HMDB0001429,Phosphate,OP(O)(O)=O,NBIIXXVUZAFLBC-UHFFFAOYSA-N,H3O4P,97.9952,97.976895096
HMDB0001448,Sulfate,OS(O)(=O)=O,QAOWNCQODCNURD-UHFFFAOYSA-N,H2O4S,98.078,97.967379242
HMDB0001870,Benzoic acid,OC(=O)C1=CC=CC=C1,WPYMKLBDIGXBTP-UHFFFAOYSA-N,C7H6O2,122.123,122.036779433
