HMDB_ID,NAME,SMILES,INCHIKEY,CHEMICAL_FORMULA,AVERAGE_MASS,MONO_MASS
HMDB0000067,Cholesterol,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,HVYWMOMLDIMFJA-DPAQBDIFSA-N,C27H46O,386.6535,386.354866094
HMDB0000068,Epinephrine,CNC[C@H](O)C1=CC(O)=C(O)C=C1,UCTWMZQNUQWSLP-VIFPVBQESA-N,C9H13NO3,183.2044,183.089543287
HMDB0000070,Pipecolic acid,OC(=O)C1CCCCN1,HXEACLLIILLPRG-UHFFFAOYSA-N,C6H11NO2,129.157,129.078978601
HMDB0000072,cis-Aconitic acid,OC(=O)C\C(=C\C(O)=O)C(O)=O,GTZCVFVGUGFEME-IWQZZHSRSA-N,C6H6O6,174.1082,174.016437924
HMDB0000073,Dopamine,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,C8H11NO2,153.1784,153.078978601
HMDB0000076,Dihydrouracil,O=C1CCNC(=O)N1,OIVLITBTBDPEFK-UHFFFAOYSA-N,C4H6N2O2,114.1026,114.042927446
HMDB0000077,Dehydroepiandrosterone,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,FMGSKLZLMKYGDP-USOAJAOKSA-N,C19H28O2,288.4244,288.20893014
HMDB0000078,Cysteinylglycine,N[C@@H](CS)C(=O)NCC(O)=O,ZUKPVRWZDMRIEO-VKHMYHEASA-N,C5H10N2O3S,178.21,178.041212886
HMDB0000079,Dihydrothymine,C[C@H]1CNC(=O)NC1=O,NBAKTGXDIBVZOO-VKHMYHEASA-N,C5H8N2O2,128.131,128.058577506
HMDB0000086,Glycerophosphocholine,C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)CO,SUHOQUVVVLNYQR-MRVPVSSYSA-N,C8H20NO6P,257.223,257.102824366
HMDB0000087,Dimethylamine,CNC,ROSDSFDQCJNGOL-UHFFFAOYSA-N,C2H7N,45.0837,45.057849229
HMDB0000089,Cytidine,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,UHDGCWIWMRVCDJ-XVFCMESISA-N,C9H13N3O5,243.2166,243.085520541
HMDB0000094,Citric acid,OC(=O)CC(O)(CC(O)=O)C(O)=O,KRKNYBCHXYNGOX-UHFFFAOYSA-N,C6H8O7,192.1235,192.02700261
HMDB0000097,Choline,C[N+](C)(C)CCO,OEYIOHPDSNJKLS-UHFFFAOYSA-N,C5H14NO,104.1708,104.107539075
HMDB0000099,L-Cystathionine,N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O,ILRYLPWNYFXEMH-WHFBIAKZSA-N,C7H14N2O4S,222.262,222.067427636
HMDB0000107,Galactitol,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,FBPFZTCFMRRESA-GUCUJZIJSA-N,C6H14O6,182.1718,182.07903818
HMDB0000108,Ethanol,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,C2H6O,46.0684,46.041864814
HMDB0000112,gamma-Aminobutyric acid,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,C4H9NO2,103.1198,103.063328537
HMDB0000115,Glycolic acid,OCC(O)=O,AEMRFAOFKBGASW-UHFFFAOYSA-N,C2H4O3,76.0514,76.016043994
HMDB0000118,Homovanillic acid,COC1=CC(CC(O)=O)=CC=C1O,QRMZSPFSDQBLIX-UHFFFAOYSA-N,C9H10O4,182.1733,182.057908808
HMDB0000119,Glyoxylic acid,OC(=O)C=O,HHLFWLYXYJOTON-UHFFFAOYSA-N,C2H2O3,74.0355,74.00039393
HMDB0000121,Folic acid,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,C19H19N7O6,441.3975,441.139681375
HMDB0000122,D-Glucose,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,WQZGKKKJIJFFOK-VFUOTHLCSA-N,C6H12O6,180.1559,180.063388116
HMDB0000123,Glycine,NCC(O)=O,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C2H5NO2,75.0666,75.032028409
HMDB0000125,Glutathione,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,RWSXRVCMGQZWBV-WDSKDSINSA-N,C10H17N3O6S,307.323,307.083805981
HMDB0000128,Guanidoacetic acid,NC(=N)NCC(O)=O,BPMFZUMJYQTVII-UHFFFAOYSA-N,C3H7N3O2,117.1066,117.053826483
HMDB0000131,Glycerol,OCC(O)CO,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C3H8O3,92.0938,92.047344122
HMDB0000134,Fumaric acid,OC(=O)\C=C\C(O)=O,VZCYOOQTPOCHFL-OWOJBTEDSA-N,C4H4O4,116.0722,116.010958616
HMDB0000139,Glyceric acid,OC[C@@H](O)C(O)=O,RBNPOMFGQQGHHO-UWTATZPHSA-N,C3H6O4,106.0773,106.02660868
HMDB0000142,Formic acid,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,CH2O2,46.0254,46.005479308
HMDB0000143,D-Galactose,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,WQZGKKKJIJFFOK-PHYPRBDBSA-N,C6H12O6,180.1559,180.063388116
HMDB0000148,Glutamic acid,N[C@@H](CCC(O)=O)C(O)=O,WHUUTDBJXJRKMK-VKHMYHEASA-N,C5H9NO4,147.1293,147.053157781
HMDB0000149,Ethanolamine,NCCO,HZAXFHJVJLSVMW-UHFFFAOYSA-N,C2H7NO,61.0831,61.052763851
HMDB0000151,Estradiol,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,VOXZDWNPVJITMN-ZBRFXRBCSA-N,C18H24O2,272.382,272.177630012
HMDB0000156,Malic acid,O[C@@H](CC(O)=O)C(O)=O,BJEPYKJPYRNKOW-REOHCLBHSA-N,C4H6O5,134.0874,134.021523302
HMDB0000157,Hypoxanthine,OC1=NC=NC2=C1NC=N2,FDGQSTZJBFJUBT-UHFFFAOYSA-N,C5H4N4O,136.1115,136.03851077
HMDB0000158,L-Tyrosine,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,OUYCCCASQSFEME-QMMMGPOBSA-N,C9H11NO3,181.1885,181.073893223
