weights	features	abs_weight
0.500210813220902	AC021074.1	0.500210813220902
0.504690546365266	RPL22P12	0.504690546365266
0.507743952252747	RPS3AP21	0.507743952252747
0.50893570472627	RPL30P4	0.50893570472627
0.510285701773551	HSP90AA3P	0.510285701773551
0.510777143603946	RPL13AP25	0.510777143603946
0.511011751402755	TPT1P4	0.511011751402755
0.514942040631436	AL161787.1	0.514942040631436
0.516376421595567	MTCYBP18	0.516376421595567
0.517202922873424	FTH1P23	0.517202922873424
0.518229733488326	H3P16	0.518229733488326
0.518434198443097	TMSB4XP2	0.518434198443097
0.518807455101118	ACTBP2	0.518807455101118
0.518988698471742	RPS23P8	0.518988698471742
0.521249096507485	RPSAP19	0.521249096507485
0.523045403764244	EEF1A1P5	0.523045403764244
0.524040818615631	RPL29P33	0.524040818615631
0.528283539272334	RPL35P1	0.528283539272334
0.528318798366557	AC105250.1	0.528318798366557
0.528661879712955	AC091429.1	0.528661879712955
0.530206078264129	Z97353.1	0.530206078264129
0.530284290219803	NACA3P	0.530284290219803
0.530327168402949	RPS3AP25	0.530327168402949
0.532209157841174	RPSAP12	0.532209157841174
0.533521313475546	RPS7P11	0.533521313475546
0.538675926568792	AC079250.1	0.538675926568792
0.539632136290447	RPL5P1	0.539632136290447
0.546195583144559	AC106872.6	0.546195583144559
0.546682423429288	EEF1A1P8	0.546682423429288
0.546699025359182	RPL7P47	0.546699025359182
0.548215163865692	AC091685.2	0.548215163865692
0.550551138602747	EIF1P7	0.550551138602747
0.552693215222925	EEF1A1P12	0.552693215222925
0.556772520106734	RPL10AP6	0.556772520106734
0.563387201559393	RPS24P8	0.563387201559393
0.565731217275783	AL136968.2	0.565731217275783
0.567189081763541	MTND4P12	0.567189081763541
0.569424209270565	RPL4P2	0.569424209270565
0.57220826974242	AL133260.1	0.57220826974242
0.577163569325896	RPS10P3	0.577163569325896
0.584323491239537	PPIAP29	0.584323491239537
0.585110654516948	AL139100.1	0.585110654516948
0.586028846814966	HSPA5P1	0.586028846814966
0.588608883390903	AC104563.1	0.588608883390903
0.588953939112213	RPL19P5	0.588953939112213
0.590310637790551	RPS3AP26	0.590310637790551
0.593347491029856	RPS7P10	0.593347491029856
0.595526818700901	RPL21P16	0.595526818700901
0.595546674314053	ATF4P3	0.595546674314053
0.604207896624807	RPL23P8	0.604207896624807
0.606482288724308	MTND6P4	0.606482288724308
0.608545549428069	MTND5P11	0.608545549428069
0.616687839415697	MTRNR2L2	0.616687839415697
0.621170550644376	AL355032.1	0.621170550644376
0.622963851201857	FO393411.1	0.622963851201857
0.623197041502792	RPL5P3	0.623197041502792
0.62691542321791	BX119917.1	0.62691542321791
0.637614281469682	AC005521.1	0.637614281469682
0.64443536668373	NACA4P	0.64443536668373
0.656365756212357	RPL3P2	0.656365756212357
0.656448177991658	AC009245.1	0.656448177991658
0.670764674262577	RPS27AP1	0.670764674262577
0.675107282536904	RPL22P16	0.675107282536904
0.677651089623983	PPIAP22	0.677651089623983
0.679934783986284	EIF1P5	0.679934783986284
0.685945912230175	MTRNR2L12	0.685945912230175
0.688620439519226	EEF1A1P9	0.688620439519226
0.701104824441733	MTCO2P2	0.701104824441733
0.702484926031096	AP001324.1	0.702484926031096
0.726358780806117	AC067904.2	0.726358780806117
0.749998898355598	MTND1P23	0.749998898355598
0.759870177207866	RPL37P6	0.759870177207866
0.771566170899429	AC007688.2	0.771566170899429
0.790415710318574	RPL15P2	0.790415710318574
0.794524436792065	TPT1P6	0.794524436792065
0.794692426771703	RPS29P3	0.794692426771703
0.802263602306604	AC092017.1	0.802263602306604
0.803850010951503	RPS3AP47	0.803850010951503
0.809339523169159	RPS20P14	0.809339523169159
0.827904522534468	AC133134.1	0.827904522534468
0.829023114385505	AP000936.3	0.829023114385505
0.837327855801283	MTCO3P12	0.837327855801283
0.860605403712317	EEF1A1P4	0.860605403712317
0.877586335053927	MTCO2P12	0.877586335053927
1	RPL39P15	1
