ID	Factor1	Factor2	Factor3	Factor4	Factor5	Factor6	Factor7	Factor8	Factor9	Factor10
H005	0.411565984501738	0.422127471436654	-1.77581257677378	1.18747992224394	1.82761968917068	0.592409193396844	1.5627595337993	-0.56869897954993	0.669070285573087	-0.406584950353286
H010	-2.02800650362021	0.13459544840091	2.13037622399383	2.29957032811793	1.27888228141355	-1.80326319177453	-0.349215757790001	-0.316768062049079	0.296000719621668	-0.884518936237459
H011	2.10670988907752	-0.44361649609503	2.3040165630774	-0.0899478871129681	0.126648095686312	-0.369647731660803	0.144640241109346	0.943334059344252	-0.0653411216887784	-0.172698795527843
H012	-2.32309714419915	1.16344527187241	2.7005824971254	-0.939737239122391	1.25273466023341	0.598515599682805	-0.20713828502165	-1.2566255230359	0.167654932877324	-0.893994251200864
H013	-1.39173601032617	0.484849583468413	-1.77321235491055	0.80325440353315	1.41808986231967	2.15521568248679	-0.286719054380151	-0.703126860038824	0.335539520541403	-0.622954895763641
H014	-1.54075149009631	0.532366441043	2.42560840331222	0.23052949328796	-0.197437352778921	0.485645888913382	0.284953697778715	0.0175923405815718	0.445552655147753	-0.671457921325262
H015	-1.84680471887765	-0.39357796383983	2.02687248309647	0.825470603010375	-0.932860792344915	-0.544472841493502	-0.116995216505241	-0.0974750973088973	0.636883544536562	-0.773071260252801
H016	0.941403652189459	-1.79980077715753	-1.77899650171103	-0.740091187424711	1.80148921917002	-0.175599020084008	0.361588421733702	-0.553886412014638	-0.440463090067974	-0.127497322068592
H017	-2.17584598859973	0.535868761722325	-1.75252041667581	-0.807747556276277	-0.326705655085288	0.157864730582551	-0.0426836711492665	0.118153772811974	0.357878034404986	-0.826177520744603
H019	0.636366593074655	1.16546892704267	2.24796871421309	0.142463528657574	0.480006978902137	2.39533535633229	1.56589280502641	0.370737258505173	0.498653833177076	-0.647927444318135
H020	1.59522900391161	0.617114946830415	-1.79987467716188	-0.816910526339958	-0.896254480003855	-1.1635167309515	-0.392139860754759	-0.0640058593599358	-0.65026229761665	-0.275069172868304
H021	1.8659271187633	0.997840340054015	-1.8250844600498	0.885386263346533	-0.150213321708792	0.0581157522541597	-0.0458986683556779	-0.926058187515124	-0.286961173775041	-0.832481744410264
