weights	features	abs_weight
-0.500494786964839	MYBL1	0.500494786964839
-0.505598514376818	CABLES1	0.505598514376818
-0.506420071274076	ETNK2	0.506420071274076
-0.507838061147445	JAM3	0.507838061147445
-0.509625981218248	DUSP8	0.509625981218248
-0.511342598842854	HNRNPLL	0.511342598842854
-0.515966466752423	TAMALIN	0.515966466752423
-0.522899904852427	LILRA4	0.522899904852427
-0.523539456793134	AC106882.1	0.523539456793134
-0.526087746813501	SLAMF1	0.526087746813501
-0.52858954233418	CCDC144NL.AS1	0.52858954233418
-0.530873159764825	GNG8	0.530873159764825
-0.530912982841221	NDRG2	0.530912982841221
-0.531652951525011	SLC5A5	0.531652951525011
-0.532867400046061	PLEKHA1	0.532867400046061
-0.532873498341793	SPRY2	0.532873498341793
-0.533486064315812	ADAMDEC1	0.533486064315812
-0.540052943679562	KIFC3	0.540052943679562
-0.547722314431897	SLC22A7	0.547722314431897
-0.549796385384606	FMN1	0.549796385384606
-0.550219545685727	SYNJ2	0.550219545685727
-0.558555816534102	FCRL1	0.558555816534102
-0.562887052440083	KIF13A	0.562887052440083
-0.567449271099119	LAMC3	0.567449271099119
-0.570393344373104	AL139020.1	0.570393344373104
-0.571956932622354	AC245884.6	0.571956932622354
-0.581406174556313	LINC01567	0.581406174556313
-0.585360791047832	CRIP3	0.585360791047832
-0.606199265022111	ZNF385C	0.606199265022111
-0.627430387817837	ZNF532	0.627430387817837
-0.662883619263493	SLC16A14	0.662883619263493
-0.704330484479765	LINC02161	0.704330484479765
-0.71062476814256	FUT8	0.71062476814256
-0.725490219929853	AL356276.1	0.725490219929853
-0.770480008915899	FCRL2	0.770480008915899
-0.8218646784797	SFMBT2	0.8218646784797
-0.825908650988009	PTPRS	0.825908650988009
-0.876091575409116	LAIR1	0.876091575409116
-1	FCRL3	1
