weights	features	abs_weight
0.505518436603678	ZBTB47	0.505518436603678
0.505988704471749	GNB4	0.505988704471749
0.50660293485582	MSTN	0.50660293485582
0.507009074223369	RIMKLB	0.507009074223369
0.514356588953277	FGF2	0.514356588953277
0.515190682677307	AKAP6	0.515190682677307
0.517301303676928	LINC01410	0.517301303676928
0.517976036734452	KCNK9	0.517976036734452
0.520514445188241	SLC4A10	0.520514445188241
0.523257927210945	PCDHGB2	0.523257927210945
0.523670493279928	MRO	0.523670493279928
0.530928745198624	PRKCA	0.530928745198624
0.545420485786755	SDC3	0.545420485786755
0.548796328579487	NMB	0.548796328579487
0.55261643992624	DPP4	0.55261643992624
0.557210440569065	STK33	0.557210440569065
0.559688612115207	PTMS	0.559688612115207
0.587875989307904	DNAH14	0.587875989307904
0.598085367285401	ANKRD13B	0.598085367285401
0.599225560658822	PAK1	0.599225560658822
0.611117651096908	LGALS1	0.611117651096908
0.633235042769344	IFI44	0.633235042769344
0.637133867324669	DHCR24	0.637133867324669
0.652300728055402	AC011767.1	0.652300728055402
0.655597634470226	DCBLD1	0.655597634470226
0.656165425332921	AL133467.4	0.656165425332921
0.661287489274779	CERKL	0.661287489274779
0.668044966072155	LRP5	0.668044966072155
0.673829471828017	DGKH	0.673829471828017
0.684082784463994	AL133467.2	0.684082784463994
0.692303100776498	IFI44L	0.692303100776498
0.69615734472173	ITGA4	0.69615734472173
0.701586509004968	IGHG4	0.701586509004968
0.708882326567959	PAX9	0.708882326567959
0.719268815468789	LAG3	0.719268815468789
0.784083539445178	IL15	0.784083539445178
0.811262471018885	ITGB5	0.811262471018885
0.851237848101417	CDHR1	0.851237848101417
0.872451445234492	BCAT1	0.872451445234492
